title,level,experience,recruit_quantity,form_of_work,gender,describe,require,interest,company_name,company_link,job_link
"Intern
            Developer
        
            Reactjs",Thực tập sinh,Không yêu cầu kinh nghiệm,2 người,Toàn thời gian,Không yêu cầu,"- Tham gia phát triển front-end cho các dự án
- Xây dựng các ứng dụng di động đa dạng lĩnh vực
- Tham gia research các công nghệ khi dự án mới có yêu cầu
- Thực hiện các nhiệm vụ khác theo yêu cầu của trưởng nhóm","(HTML & Javascript)- Có kiến thức cơ bản về lập trình HTML & JavascriptĐã từng thực hiện đồ án với ReactjsCó kinh nghiệm với TypeScript- Có khả năng giao tiếp bằng tiếng anh và đọc hiểu tài liệu kỹ thuật- Sinh viên năm cuối hoặc đã tốt nghiệp các trường Đại học/Cao đẳng, các trung tâm đào tạo ngành CNTT- Đảm bảo thời gian thực tập 4 ngày/tuần (Công ty làm việc từ Thứ hai đến thứ Sáu hàng tuần)- Có Laptop phục vụ công việc","- Làm việc trong một môi trường năng động, trẻ trung và thân thiện- Được đào tạo về công nghệ và quy trình làm việc- Được đào tạo về các kỹ năng làm việc, định hướng phát triển công việc- Được tham gia vào các dự án thực tế, công nghệ mới, phát triển bản thân nhanh chóng- Cơ hội trở thành nhân viên chính thức sau khi kết thúc chương trình thực tập",CÔNG TY TNHH GIẢI PHÁP PHẦN MỀM SUNSHINE,https://www.topcv.vn/cong-ty/cong-ty-tnhh-giai-phap-phan-mem-sunshine/84205.html,https://www.topcv.vn/viec-lam/intern-developer-reactjs/573912.html?ta_source=ITJobs_LinkDetail
Tester,Nhân viên,2 năm,1 người,Toàn thời gian,Không yêu cầu,"Xây dựng testcase đầy đủ, chi tiết, rõ ràng.Xây dựng Check list, tasklist cho các chức năng sản phẩm Dashboard, WEB, APP, CMS, hệ thống API.Tạo Report test hàng ngày, hàng tuần, hàng tháng.","2 năm kinh nghiệm làm việc trong lĩnh vực kiểm thử web/mobile app.Hiểu biết về quy trình kiểm thử phần mềm.Khả năng làm việc độc lập và trong nhóm, có khả năng quản lý thời gian tốt.Mạnh về Manual Test và có định hướng hoặc khả năng làm Automation Test (function và performance).Có khả năng phân tích để xác định lỗi và vấn đề liên quan đến tính năng và hiệu suất.Khả năng giao tiếp và làm việc cùng các bộ phận khác để giải quyết vấn đề và cải thiện quy trình làm việc.Có khả năng phân tích nghiệp vụ.Test thành thao API, hiểu biết chuyên sâu các tool hỗ trợ test api.Sử dụng thành thao SQL.Có kỹ năng test chuyên sâu.Sử dụng thành thao SQL.Tiếng Anh hoặc tiếng Nhật mức có thể giao tiếp nghe hiểu và trao đổi được với khách hàng.Sẵn sàng đi onsite khi cần.","Thu nhập: Lương cứng 10 - 20 triệu + lương KPI.Hỗ trợ thiết bị làm việc.Review lương 6 tháng - 1 năm, một lần (dựa vào năng lực).Du lịch hè, teambuilding gắn kết tình cảm.Quỹ ăn nhẹ hàng tháng, hàng tuần, hàng ngày cho nhân viên.Lương tháng 13.Cơ hội phát triển bản thân, qua các dự án lớn và quy trình chuyên nghiệp.Cơ hội làm việc tại Nhật Bản.Được hưởng đầy đủ các chế độ cho người lao động theo luật lao động Việt Nam (BHXH, BHYT...).",CÔNG TY CỔ PHẦN TCOM,https://www.topcv.vn/cong-ty/cong-ty-co-phan-tcom/136027.html,https://www.topcv.vn/viec-lam/tester/1468865.html?ta_source=ITJobs_LinkDetail
"Customer Support
        For
            ERP
        Software (No Experience)",Nhân viên,Không yêu cầu kinh nghiệm,2 người,Toàn thời gian,Không yêu cầu,"- Support clients via email / phone promptly about ERP software- Troubleshooting issue of customers.- Corporate with Dev, SA/BA to solve issue for customer- Support customer on usage and also fix bug. - Training on customer about using ERP software if required by manager.",- Graduted university- Written and Spoken English Language Proficiency- Good customer service attitude- Good troubleshooting skills- Independent team player who can work with minimal supervision- Age: 22-25,"- Monthly salary 13+14- To be paid insurance according to the provisions of labor law (social  insurance, health insurance, unemployment insurance)- Increase salary 2 times/ year,- Conducive working environment- To celebrate birthday, participate in teambuilding activities, annual  travel.- Good learning opportunities- Holidays and New Year holidays as prescribed by law. Company  holidays, including: (14 days off, 10 days off sick, 01 Christmas day, 0.5  international women's day, 0.5 Vietnamese women's day ..)- There are fruits every Thursday and free cake, tea, coffee, ...",Công ty TNHH Synergix Technologies Việt nam,https://www.topcv.vn/cong-ty/cong-ty-tnhh-synergix-technologies-viet-nam/18455.html,https://www.topcv.vn/viec-lam/customer-support-for-erp-software-no-experience/1094354.html?ta_source=ITJobs_LinkDetail
"Senior
            QA Engineer",Nhân viên,3 năm,1 người,Toàn thời gian,Không yêu cầu,"Your responsibilities will include, but are not limited to: Design, develop, and execute functional test cases that ensure the software meets the intended requirements and quality standards.The engineer shall perform the test activity: generate and send test reports to the team lead and project manager and follow up for issue verification and bug resolution.Work with the development team to convert the requirements and design documents into a test plan containing an overview, collection of test cases, and test scenarios.Participate in improving test processes, and propose new ideas on how to improve customer satisfaction and the quality of products.Review test cases and scripts created by other team members to ensure that proper test coverage has been developed.Collaborate with Development and DevOps teams to ensure the necessary data/builds/infrastructure are built and available and that test environments are available and functional.Work with the end users to guide and manage the user acceptance phase of testing.Research and identify methodologies and tools to improve the software testing process.","Here at STYL Solutions, we encourage our employees to take initiative, propose ideas, and provide them with the opportunity to dive into multiple projects. We are looking for candidates who possess the following: At least 3 years experienceKnowledge of software development life cycle, Agile, Scrum, Kanban methodologiesKnowledge utilizing test management tools such as Jira/TestrailTime management, prioritization, and independence as well as keen attention to detail.Ability to work cross-functionally with internal and distributed teams.Experience with Cross-browser and mobile testing.Any knowledge or experience with test automation tools would be a plus!Any knowledge or experience with load test tools (Ex: JMeter) would be a plus!Advance English communication is a plus!","STYL Solutions will give you the favorable conditions you need to tackle difficult problems and learn cutting-edge technologies: An international working environment with friendly and passionate colleaguesOnsite opportunity to Japan, and Singapore for training and supporting customerMeaningful work with experienced & strong technical veteransFlat structure, simple processes & transparencyIn addition to providing you with professional growth, STYL Solutions is also committed to taking care of our employees, personally. As a full-time employee, you are automatically enrolled in our benefits program, which includes: Attractive compensation, regular assessments, and salary reviewsPerformance bonus19 paid days off per year1 WFH day per week (.)100% salary & full social insurance during the probation periodPremium health care insurance (PVI)Free lunch, snacks, coffee, and teaSpecial celebration on 8/3, 1/6, Xmas, Tet holiday...Outing/team-building activities (trip, sport, dinner...)(.) Only apply to full-time employees meeting work conscientiousness criteria and maintaining remote productivity.Important Note:By submitting an application, or sending your CV to us:a) you acknowledge that you have read, understood, and agreed to STYL's Candidate Privacy Notice (It can be easily found on our website), and consent to the collection, use, and/or disclosure of your personal data by us for the purposes set out in the Notice; and(b) in the event that we have received your job application or personal data from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorized by you to disclose your personal data to us for the purposes set out in the the Notice.",VĂN PHÒNG ĐẠI DIỆN STYL SOLUTIONS PTE. LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH,https://www.topcv.vn/cong-ty/van-phong-dai-dien-styl-solutions-pte-ltd-tai-thanh-pho-ho-chi-minh/95267.html,https://www.topcv.vn/viec-lam/senior-qa-engineer/1469338.html?ta_source=ITJobs_LinkDetail
"IT Comtor
        (Tiếng Nhật)",Nhân viên,2 năm,1 người,Toàn thời gian,Không yêu cầu,"Dịch viết: dịch tài liệu và nội dung trao đổi hai phía trong dự án trên các kênh liên lạc khác nhau.Dịch họp: dịch các cuộc họp như Daily MTG, Weekly Meeting, các cuộc họp với khách hàng, dịch các cuộc họp hỗ trợ sale/Developer... với khách hàng.Hỗ trợ một số công việc liên quan đến tiếng Nhật trong công ty (nếu có).","Trình độ tiếng Nhật từ N2, giao tiếp tốt.Có từ 2 năm kinh nghiệm ở vị trí IT Comtor hoặc có kinh nghiệm làm việc trong môi trường công nghệ.Kỹ năng xử lý công việc nhanh, tỉ mỉ.Tính cách cởi mở, không ngại việc khó.Kỹ năng giao tiếp, trình bày tốt.Năng động, tự tin, sáng tạo, có khả năng làm việc độc lập và làm việc theo nhóm.Đã có kinh nghiệm làm việc tại các công ty Nhật Bản, Âu, Mỹ là một lợi thế.","Chính sách Hybrid (WFH 3 ngày/tuần)Thu nhập = Lương Net + Trợ cấp + Thưởng Performance (> 14 tháng lương/ năm).Đánh giá lương 2 lần/ năm dựa trên năng lực và kết quả công việc.Khám sức khỏe định kỳ hàng năm.Bảo hiểm sức khỏe PVI Care khi làm đủ 1 năm.Hưởng các chính sách hấp dẫn của công ty: Du lịch, tham gia Teambuilding, thưởng Lễ Tết, Quà dịp đặc biệt cá nhân,...Miễn phí trà, cafe, bánh kẹo.Tham gia câu lạc bộ Âm nhạc, bóng đá, ngoại ngữ,....Định hướng thăng tiến nghề nghiệp.",Công Ty Cổ Phần NCCPLUS Việt Nam,https://www.topcv.vn/cong-ty/cong-ty-co-phan-nccplus-viet-nam/27541.html,https://www.topcv.vn/viec-lam/it-comtor-tieng-nhat/994917.html?ta_source=ITJobs_LinkDetail
"Biên Phiên Dịch Tiếng Nhật
        (IT Communicator)",Nhân viên,1 năm,1 người,Toàn thời gian,Không yêu cầu,"Dịch Việt - Nhật, Nhật - Việt các tài liệu dự án, email của khách hàng.Tham gia các buổi họp trao đổi yêu cầu với đội nhóm, báo cáo với khách hàng.Tham gia vào giai đoạn phân tích yêu cầu, chuẩn bị tài liệu cần thiết để đội phát triển thực hiện dự án.Tham gia vào giai đoạn kiểm trử trước khi bàn giao sản phẩm.Các công việc khác theo yêu cầu của quản lí dự án và kỹ sư cầu nối (BrSE).","Tốt nghiệp đại học chuyên ngành Tiếng Nhật, IT, Kinh tế,....Tiếng Nhật trình độ tương đương N2 trở lên, nghe hiểu tốt, truyền đạt chính xác.Có kỹ năng giao tiếp tốt.Có kỹ năng sử dụng các công cụ tin học văn phòng như Word, Excel, Powerpoint.Có tinh thần trách nhiệm với công việc.Có khả năng làm việc nhóm, ham học hỏi, tư duy tích cực.Ưu tiên ứng viên có định hướng trở thành kỹ sư cầu nối (BrSE), quản lý dự án.","Môi trường chuyên nghiệp, cởi mở, đề cao sự sáng tạo:Làm việc cùng những đồng nghiệp trẻ, nhiệt tình và luôn sẵn sàng chia sẻ;Văn hóa học tập mạnh mẽ với khát vọng và thái độ khao khát tích lũy tri thức.Tập trung hỗ trợ sự phát triển cá nhân:Được tư vấn, đồng hành và hỗ trợ phát triển sự nghiệp;Được tham gia lớp học tiếng Anh, tiếng Nhật miễn phí tại công ty;Được tham gia miễn phí các chương trình đào tạo do công ty tổ chức AWS, Rabitalk... hàng tháng.Quan tâm đặc biệt tới nhân viên:Thưởng dự án, tháng 13+ (trung bình 14 15 tháng lương/năm) và các dịp Lễ, Tết, sinh nhật;Được hưởng nghỉ phép bắt đầu từ thử việc và không dùng hết được trả lại tiền lương;Bảo hiểm sức khoẻ dành riêng cho Rabiloo;Chế độ chăm sóc phụ nữ: Đi muộn/ về sớm 3 lần/ tháng. Nghỉ thai sản thưởng ngay 1 tháng lương;Đồ uống, đồ ăn nhẹ tại văn phòng;Chính sách hỗ trợ các hoạt động học tập, trao đổi, chia sẻ kiến thức, giao lưu văn hoá (Rabitalk, CLB: bóng đá, bóng bàn, cầu lông, bi-a,...);Du lịch thường niên, hoạt động team building hàng quý;Phúc lợi ốm đau, thai sản, hiếu hỉ cho cả người thân.Quy trình ứng tuyển: Ứng tuyển → Sàng lọc hồ sơ → Test Online → Phỏng vấn",CÔNG TY TNHH RABILOO,https://www.topcv.vn/cong-ty/cong-ty-tnhh-rabiloo/11414.html,https://www.topcv.vn/viec-lam/bien-phien-dich-tieng-nhat-it-communicator/1469476.html?ta_source=ITJobs_LinkDetail
"Nhân Viên Editor Video
        Trên Nền Tảng Youtube",Nhân viên,Dưới 1 năm,5 người,Toàn thời gian,Không yêu cầu,"HN MEDIA GROUP là công ty dẫn đầu trong lĩnh vực cung cấp dịch vụ Media và Quản trị hệ thống kênh Youtube chất lượng cao cho khách hàng từ khắp nơi trên thế giới như Mỹ, Nhật, Hàn, Malaysia, Ấn Độ, Trung Quốc, ... với hơn 200 dự án quốc tế thành côngChúng tôi quan niệm nhân sự là giá trị cốt lõi và cũng là trái tim của HN MEDIA GROUP, vì thế mỗi thành viên đều được đào tạo chuyên sâu, bài bản và gắt gao theo tiêu chuẩn quốc tế để có thể đảm bảo uy tín của công ty và gặt hái thành công trong sự nghiệp của mình.I.  MÔ TẢ CÔNG VIỆCNhận file thô hoặc file đã chỉnh sửa cơ bản để dựng thành video hoàn chỉnh. Chủ yếu là hình ảnh/video ngoại cảnh, cảnh thiên nhiên, đường phố, phong cảnh,... phục vụ cho sản xuất các video âm nhạc xuất bản trên nền tảng Youtube.Lưu trữ khoa học để tạo kho dữ liệu cho team SEO sử dụng upload lên nền tảng YoutubePhối hợp với các bộ phận liên quan để sản xuất video Hỗ trợ các công việc liên quan đến truyền thông mediaThực hiện các công việc khác theo sự phân công của Quản lý trực tiếp.","Học vấn - Kinh nghiệm:Cao đẳng Chính quy trở lênHoặc từng theo học các khóa đào tạo về Dựng phim, Chỉnh sửa hình ảnhCó kinh nghiệm tối thiểu 6 tháng tại vị trí tương đương Kỹ năng:Sử dụng thành thạo các phần mềm dựng phim và thiết kế hình ảnh như: Adobe Premiere, Adobe After Effects...Hiểu biết về quy trình từ quay phim/chụp ảnh đến chỉnh sửa, hậu kỳƯu tiên các bạn có kinh nghiệm trong các công ty làm về Youtube Phẩm chất, thái độ:Ưu tiên ứng viên ở gần công tyCó nền tảng về truyền thông, mỹ thuật, thiết kế đồ họa, nhiếp ảnh, công nghệ thông tin là lợi thế.Thành thạo phần mềm chỉnh sửa, dựng phimSáng tạo và đam mê lĩnh vực mediaCó con mắt nghệ thuật, quan tâm đến chi tiết. Tận tâm với từng sản phẩm.Kiên nhẫn và tập trung.Khả năng lắng nghe và làm việc nhóm tốt.Có thể linh hoạt các đầu việc Quay phim - Chụp ảnh - Editor trong team.Khả năng làm việc dưới áp lực thời gian.Kỹ năng giao tiếp tốt.","Lương cơ bản: 8.000.000đ hoặc 9.000.000đ / tháng Phụ cấp ăn trưa 600.000đ / tháng Thưởng hiệu quả công việc, thu nhập trung bình 10-15tr/thángThử việc 1 tháng nhận 85% lương cơ bản Xét lương định kỳ 2 lần/năm, cố định vào tháng 6 và tháng 12 hàng năm. Mức tăng từ 3-20%/lầnBHXH đầy đủ theo quy định nhà nướcDu lịch 5 sao mỗi năm, liên hoan mỗi tháng.Hoạt động thể thao 2 lần/tuần, tiện ích giải trí miễn phí tại văn phòng (Máy tập thể thao, bi-a)Thưởng nóng, thưởng hàng tháng, thưởng quý, thưởng năm và thưởng các ngày lễ tết, thưởng tháng thứ 13, thưởng nhân viên xuất sắcCông ty trang bị máy móc thiết bị phục vụ cho công việc quay dựngCung cấp máy tính cấu hình cao để làm việc.Văn phòng đầy đủ tiện nghi, ánh sáng, sạch sẽ, điều hòa, cây xanh, tủ lạnh, lò vi sóng, máy chiếu.Đồng nghiệp trẻ trung, giỏi chuyên môn và thành thạo kỹ năng. Môi trường lành mạnh, đề cao sự phát triển của mỗi cá nhân.",CÔNG TY TNHH HN MEDIA GROUP,https://www.topcv.vn/cong-ty/cong-ty-tnhh-hn-media-group/81833.html,https://www.topcv.vn/viec-lam/nhan-vien-editor-video-tren-nen-tang-youtube/1469477.html?ta_source=ITJobs_LinkDetail
"Network Engineer
        (Junior Level, Telecom Industry)",Nhân viên,1 năm,1 người,Toàn thời gian,Không yêu cầu,"- IPTP global network monitoring;- Server assembling /termination /troubleshooting;- Network equipment support and configuration;- Remote hands assistance;- Hardware inventory management, documentation handling;- Assist in managing local office infrastructure in VietNam;- Ensure proper tracking and following up of all cases until their resolution;- Manage requests from internal and external clients and resolve it on company system;- Understand customer issues and develop necessary actions across different teams to ensure optimal levels of customer satisfaction; escalate it to required departments if needed;- Handle request cases to ensure issues are recorded, tracked, resolved, and follow ups are done in a timely manner;- Conduct root-cause analysis for technical issues in coordination with other technical teams;- Maintain accurate customer documents and prepare reports for all issues and resolutions;-Develop insights from multiple data sources and advocate for actions that benefit both the customer and business outcomes.","– Bachelor’s degree in IT/Telecom field;– Good command of written & verbal English (Business level);–  At least 1 year of experience in Networking;–  Good practical knowledge of Networking (CCNA level);-  Basic knowlege, experience of Linux/Windows;–  Problem solving abilities, attention to details;–  Experience in technical support/troubleshooting/documenting is a plus.","● Salary: Attractive salary package● 15 annual leave days● High-end yearly health check-up● Team building activities held monthly and quarterly● Social, health and unemployment Insurance following Government policy● Year-end bonus",IPTP NETWORKS,https://www.topcv.vn/cong-ty/iptp-networks/6202.html,https://www.topcv.vn/viec-lam/network-engineer-junior-level-telecom-industry/1466737.html?ta_source=ITJobs_LinkDetail
"Kĩ Sư
        
            Phát Triển Phần Mềm
        Java/
            Javascript",Nhân viên,Dưới 1 năm,12 người,Toàn thời gian,Không yêu cầu,"Về chúng tôi: Toshiba Software Development (Vietnam) Co., Ltd. (viết tắt là TSDV) là công ty Phát triển phần mềm với 100% vốn đầu tư & trực thuộc tập đoàn Toshiba Japan. Khách hàng của TSDV là các công ty con trực thuộc tập đoàn Toshiba Japan. Chúng tôi phát triển phần mềm cho đa dạng các sản phẩm & giải pháp cho TOSHIBA, trong các lĩnh vực:Năng lượngHệ thống & Giải pháp Cơ sở Hạ tầngThiết bị Điện tử và Lưu trữGiải pháp IoT trong Công nghiệp.Ứng viên làm việc tại TSDV được yêu cầu tham gia đầy đủ quá trình phát triển phần mềm từ phân tích thiết kế, lập trình đến kiểm thử chất lượng phần mềm cho các dự án trên.Đặc biệt, đối với ứng viên ít kinh nghiệm, chương trình training Đào tạo nhân viên mới sẽ được trang bị, bao gồm: Đào tạo chuyên sâu, tổng thời gian đào tạo là 2 tháng để chuẩn bị các kiến thức và hoàn thiện kỹ năng trước khi tham gia vào dự án, với các nội dung bao gồm: kiến thức về Database, Lập trình hướng đối tượng, quy trình phát triển phần mềm, quản lý rủi ro...","Tốt nghiệp chuyên ngành Công nghệ thông tin, Toán tin, Khoa học máy tính, Kỹ thuật phần mềm, Điện tử viễn thông... hoặc các chuyên ngành có liên quan.Có nền tảng tốt về các lĩnh vực kỹ thuật liên quan đến Khoa học máy tính như Toán, Vật lý, Logic bool, kiến trúc máy tính, Xác suất thống kê, etc.Nắm vững kiến thức cơ bản về Lập trình hướng đối tượng và có kinh nghiệm thực tế, ít nhất 6 tháng - 1 năm liên tục trong các ngôn ngữ Java/ Java Web/ JavaScript/ JavaCore...Có khả năng đọc hiểu tiếng AnhCó định hướng rõ ràng trong sự nghiệp và có cam kết làm việc lâu dài.Ham học hỏi, tuân thủ kỷ luật & có trách nhiệm với công việc.Ứng viên có thời gian làm việc/ thực tập tại công ty có yếu tố Nhật Bản là điểm cộng.Ưu tiên ứng viên tốt nghiệp đúng chuyên ngành các trường Đại học Bách Khoa, Đại học Công Nghệ - DDHQGHN,Học viện Bưu Chính,Đại học FPT, ... & có điểm tốt nghiệp (GPA) cao.","Mức lương thỏa thuận theo năng lực. Package lương: Up to 15 tháng/Năm. Bao gồm Bonus 1 lần/Năm, Incentive 2 lần/NămĐánh giá năng lực, xem xét điều chỉnh lương thưởng 2 lần 1 năm.Thử việc Full 100% lương. Đóng bảo hiểm Full 100% lương. Ứng viên được đóng bảo hiểm cả trong giai đoạn thử việc.Tuần làm việc 5 ngày, thời gian linh hoạt, chủ yếu dựa trên hiệu quả công việc.Hưởng chế độ bảo hiểm full lương, cũng các chế độ chính sách theo đúng luật lao động Việt Nam.Khám sức khỏe định kỳ hàng năm cho mọi nhân viên. Có gói bảo hiểm sức khỏe đặc biệt cho những nhân viên có thâm niên công tác lâu dài.Môi trường làm việc trẻ trung, thân thiện, tôn trọng và hỗ trợ lẫn nhau trong công việc, với nhiều hoạt động team building (company trip 1 năm 1 lần, câu lạc bộ bóng đá, cầu long, bơi, chạy, gym, yoga, etc).Chấp nhận các ứng viên trẻ, ít kinh nghiệm trong lĩnh vực phát triển phần mềm, nhưng có quyết tâm và khả năng học tập và theo đuổi lĩnh vực phát triển phần mềm, cũng như có cam kết làm việc lâu dài cho công ty.","Toshiba Software Development (Vietnam) Co., Ltd.",https://www.topcv.vn/cong-ty/toshiba-software-development-vietnam-co-ltd/36463.html,https://www.topcv.vn/viec-lam/ki-su-phat-trien-phan-mem-java-javascript/1469393.html?ta_source=ITJobs_LinkDetail
"Java
        
            Back-End Developer
        (With Japanese)",Nhân viên,1 năm,4 người,Toàn thời gian,Không yêu cầu,"Position Overview:This role is pivotal in developing and maintaining scalable software solutions that enhance the platform. As a Java Back-end Developer, you will be involved in the full software development lifecycle, working closely with cross-functional teams to deliver high-quality products.Japanese language: N2 or N3 with good verbal communication. Experience working as BSE is a plus.","Responsibilities:• Collaborate with customers (Japanese), product managers and development teams to ideate and develop software solutions.• Design and implement client-side and server-side architecture.• Manage well-functioning databases and applications, ensuring they are optimized for performance and scalability.• Create and maintain APIs for seamless integration with other services.• Conduct thorough testing of software to ensure responsiveness and efficiency.• Troubleshoot, debug, and upgrade software as needed.• Implement security measures to protect data and ensure compliance with industry standards.• Create technical documentation to guide future development and maintenance.• Participate in Agile/Scrum development processes.Requirements:• Proven experience as a Java Back-end Developer or similar role.• Strong knowledge of Java languages and Java frameworks (e.g., Spring Boot).• Familiarity with databases (e.g., MySQL, MongoDB), web servers (e.g., Apache).• Experience with front-end languages and libraries (e.g., HTML/CSS, JavaScript, XML, jQuery) is a plus.• Strong with Japanese language: N2 or N3 with good verbal communication. Experience working as BSE is a plus.• Good problem-solving skills and attention to detail.• Strong communication and teamwork abilities.• Bachelor’s degree in Computer Science, Engineering, or a related field.Preferred Qualifications:• Experience with cloud services and infrastructure (e.g., AWS, Azure).• Knowledge of cybersecurity best practices.• Familiarity with Agile methodologies.• Contributions to open-source projects.","Benefits/ Opportunity:Working in an international, dynamic and professional environment with many opportunities to develop career.Having opportunities of being trained oversea and working directly with oversea customerA stable and rewarding position where your long-term commitment will be highly valued.Technical & Soft skills internal training coursesMany company activities (Sport and music festival, TMA Futsal league ...) are held annually.Competitive salary and bonus.Total Health Care InsuranceLoan FundTeam Building Fund",TMA Solutions,https://www.topcv.vn/cong-ty/tma-solutions/1179.html,https://www.topcv.vn/viec-lam/java-back-end-developer-with-japanese/1469231.html?ta_source=ITJobs_LinkDetail
